facility_id,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
0617039,諏訪赤十字病院,3,2,2,1,0,1,1,0,,,,,
0716013,長野県立信州医療センター,2,1,2,0,0,0,1,0,,,,,
0717052,医療法人公仁会轟病院,1,0,1,0,0,0,0,0,,,,,
0817084,長野県厚生農業協同組合連合会　浅間南麓こもろ医療センター,2,2,1,1,0,0,2,0,,,,,
0817332,医療法人山月会小諸医院,1,0,0,1,0,0,0,0,,,,,
8010112,独立行政法人国立病院機構小諸高原病院,1,1,0,1,0,0,0,1,,,,,
0917082,医療法人保健同人会 田中病院,1,0,0,1,0,0,0,0,,,,,
0917157,医療法人暁会 仁愛病院,1,1,0,1,0,0,1,0,,,,,
0917363,伊那中央病院,4,2,3,0,0,1,1,0,,,14416.0,5725.0,VERIFIED_NUMERIC
1017080,昭和伊南総合病院,2,1,2,0,0,1,0,0,,,,,
1117047,長野県厚生農業協同組合連合会北信総合病院,3,2,3,0,0,1,1,0,,,,,
1117179,医療法人聖峰会佐藤病院,1,0,0,1,0,0,0,0,,,,,
1217029,市立大町総合病院,1,1,1,0,0,0,1,0,,,,,
1317035,飯山赤十字病院,1,1,1,0,0,0,1,0,,,,,
1417017,諏訪中央病院,2,1,2,0,0,0,1,0,,,,,
1517022,医療法人元山会 中村病院,1,0,0,1,0,0,0,0,,,,,
1517048,塩尻病院,1,0,0,1,0,0,0,0,,,,,
1517154,塩尻協立病院,1,0,0,1,0,0,0,0,,,,,
1517253,松本歯科大学病院,2,1,0,1,0,0,1,0,,,,,
1717077,医療法人三世会金澤病院,1,1,1,0,0,0,0,1,,,,,
1717150,くろさわ病院,1,1,1,0,0,0,1,0,,,,,
1717283,長野県厚生農業協同組合連合会佐久総合病院,2,1,2,0,0,0,1,0,,,,,
1717291,医療法人雨宮病院,1,1,0,0,1,0,1,0,,,,,
1717325,川西赤十字病院,1,0,0,1,0,0,0,0,,,,,
1717341,佐久市立国保浅間総合病院,1,1,1,0,0,0,1,0,,,,,
1717523,長野県厚生農業協同組合連合会 佐久総合病院 佐久医療センター,3,3,3,0,0,2,1,0,,,30391.0,11481.0,VERIFIED_NUMERIC
1817018,稲荷山医療福祉センター,1,0,0,1,0,0,0,0,,,,,
1817026,社会医療法人大西会　千曲中央病院,1,1,1,0,0,0,1,0,,,,,
1817182,長野寿光会上山田病院,1,1,0,1,0,0,1,0,,,,,
1917040,祢津診療所,1,0,0,1,0,0,0,0,,,,,
1917123,東御市民病院,1,1,1,0,0,0,1,0,,,,,
4010322,高橋医院,1,0,0,0,1,0,0,0,,,,,
4017046,長野県立こども病院,1,1,1,0,0,0,1,0,,,,,
4017053,安曇野赤十字病院,2,1,0,2,0,0,1,0,,,,,
4017152,医療法人仁雄会 穂高病院,1,1,1,0,0,0,1,0,,,,,
4017160,医療法人山本耳鼻咽喉科,1,0,0,0,0,0,0,0,,,,,
4017392,柏原クリニック,1,0,1,0,0,0,0,0,,,,,
2017220,長野県厚生農業協同組合連合会佐久総合病院 小海分院,1,0,1,0,0,0,0,0,,,,,
2017238,佐久穂町立千曲病院,1,1,0,1,0,0,1,0,,,,,
2117012,軽井沢町国民健康保険軽井沢病院,1,1,1,0,0,0,1,0,,,,,
2217358,国民健康保険依田窪病院,1,1,1,0,0,0,1,0,,,,,
2317091,社会医療法人南信勤労者医療協会諏訪共立病院,1,0,0,1,0,0,0,0,,,,,
2317208,社会福祉法人信濃医療福祉センター,1,0,0,1,0,0,0,0,,,,,
2317109,富士見高原医療福祉センター富士見高原病院,1,1,1,0,0,0,1,0,,,,,
2417354,町立辰野病院,1,1,1,0,0,0,0,1,,,,,
2417537,上伊那生協病院,1,0,0,1,0,0,0,0,,,,,
2517187,下伊那赤十字病院,1,0,1,0,0,0,0,0,,,,,
2517559,長野県厚生農業協同組合連合会下伊那厚生病院,1,1,1,0,0,0,1,0,,,,,
2516031,長野県立阿南病院,1,1,1,0,0,0,1,0,,,,,
2616054,長野県立木曽病院,2,1,2,0,0,0,1,0,,,,,
2917064,長野県厚生農業協同組合連合会 北アルプス医療センターあづみ病院,2,2,2,0,0,1,1,0,,,,,
3217068,特定医療法人新生病院,1,1,0,1,0,0,1,0,,,,,
3417239,飯綱町立飯綱病院,1,1,1,0,0,0,1,0,,,,,
