pref_code,facility_code,map_type,map_name,map_beds,in_equipment_master
13,2371037,病院,医療法人社団 葛西中央病院,57,True
13,2371045,病院,医療法人社団 晃山会 タムス松江病院,140,False
13,2371060,病院,医療法人社団 城東桐和会 タムスさくら病院江戸川,378,True
13,2371094,病院,社会医療法人社団 森山医会 森山記念病院,312,True
13,2371102,病院,社会医療法人社団 森山医会 森山脳神経センター病院,149,True
13,2371110,病院,江戸川メディケア病院,199,True
13,2371128,病院,医療法人社団 城東桐和会 タムス瑞江病院,60,True
13,2414555,病院,奥多摩町国民健康保険 奥多摩病院,41,True
13,2418929,病院,医療法人社団 崎陽会 日の出ヶ丘病院,170,False
13,2421998,無床診療所,檜原村国民健康保険檜原診療所,0,False
13,2470458,病院,医療法人財団 利定会 大久野病院,158,True
13,2470466,病院,医療法人社団 久遠会 みずほ病院,113,True
13,2715498,病院,社会福祉法人 白十字会 東京白十字病院,125,True
