pref_code,facility_id,facility_name_map,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
13,2171221,医療法人社団 苑田会 苑田第三病院,医療法人社団苑田会 苑田第三病院,1,1,1,0,0,0,1,0,,,,,
13,2171171,医療法人社団 弘仁勝和会 勝和会病院,医療法人社団弘仁勝和会 勝和会病院,1,0,0,1,0,0,0,0,,,,,
13,2171460,医療法人社団 苑風会 苑風会病院,医療法人社団苑風会 苑風会病院,1,0,0,1,0,0,0,0,,,,,
13,2171452,友愛病院,友愛病院,1,0,0,1,0,0,0,0,,,,,
13,2171213,医療法人財団 健和会 柳原リハビリテーション病院,医療法人財団健和会 柳原リハビリテーション病院,1,0,0,0,1,0,0,0,,,,,
13,2170116,社会医療法人社団 慈生会 等潤病院,社会医療法人社団 慈生会 等潤病院,1,1,1,0,0,1,0,0,,,,,
13,2171395,桜会病院,医療法人社団桜会 桜会病院,1,0,0,1,0,0,0,0,,,,,
13,2171353,扇大橋病院,扇大橋病院,1,0,0,1,0,0,0,0,,,,,
13,2171296,医療法人社団 洪泳会 第二洪誠病院,医療法人社団洪泳会 第二洪誠病院,1,0,0,0,1,0,0,0,,,,,
13,2112183,医療法人財団 梅田病院,医療法人財団梅田病院,1,0,0,1,0,0,0,0,,,,,
13,2171528,医療法人社団 健整会 米倉脊椎・関節病院,医療法人社団健整会 米倉脊椎・関節病院,1,1,0,1,0,0,1,0,,,,,
13,2112308,社会福祉法人 勝楽堂病院,社会福祉法人勝楽堂病院,1,0,0,1,0,0,0,0,,,,,
13,2171155,あだち共生病院,医療法人社団桜会　あだち共生病院,1,0,1,0,0,0,0,0,,,,,
13,2171544,医療法人社団 福寿会 慈英会病院,医療法人社団福寿会 慈英会病院,1,0,0,1,0,0,0,0,,,,,
13,2171486,あやせ循環器リハビリ病院,あやせ循環器リハビリ病院,1,0,0,1,0,0,0,0,,,,,
13,2171130,医療法人社団 東京朝日会 あさひ病院,医療法人社団東京朝日会あさひ病院,1,1,1,0,0,0,1,0,,,,,
13,2170215,医療法人社団 星風会 井上病院,医療法人社団星風会 井上病院,0,1,0,0,0,0,1,0,,,,,
13,2171510,医療法人社団 忠医会 大高病院,医療法人社団忠医会 大高病院,1,1,0,1,0,0,0,1,,,,,
